Gameid	Duration	Winner	TeamA_c1	TeamA_c2	TeamA_c3	TeamA_c4	TeamA_c5	TeamB_c1	TeamB_c2	TeamB_c3	TeamB_c4	TeamB_c5
86	1257	1	Vi	Lulu	Twitch	Rammus	Swain	Jarvan IV	Miss Fortune	Thresh	Syndra	Nasus
58	1682	0	Kayle	Master Yi	Jhin	Zyra	Aurelion Sol	Shen	Taliyah	Thresh	Nautilus	Lucian
89	2218	1	Veigar	Fizz	Shen	Maokai	Ashe	Katarina	Warwick	Sona	Yasuo	Caitlyn
3	1493	0	Tristana	Kayn	Nami	Rumble	Kassadin	Cassiopeia	Thresh	Jayce	Jax	Ashe
44	932	1	Jinx	Thresh	Cassiopeia	Amumu	Gangplank	Soraka	Lucian	Elise	Sivir	Tryndamere
11	1391	1	Lux	Lucian	Zyra	Maokai	Nautilus	LeBlanc	Kayle	Fizz	Tristana	Leona
23	1511	1	Kog'Maw	Lulu	LeBlanc	Graves	Urgot	Tryndamere	Cho'Gath	Jinx	Janna	Twisted Fate
31	1597	1	Vladimir	Leona	Twitch	Graves	Yasuo	Talon	Jarvan IV	Lulu	Ashe	LeBlanc
65	197	1	Nautilus	Warwick	Caitlyn	Pantheon	Ekko	Ashe	Gragas	Zyra	Kled	Katarina
2	1851	0	Draven	Irelia	Nidalee	Kayle	Shaco	Malphite	Morgana	Hecarim	Yasuo	Riven
56	1875	0	Zed	Twitch	Veigar	Lee Sin	Camille	Ashe	Rakan	Kayn	Shaco	Lissandra
88	1311	0	Sivir	Rakan	Ahri	Darius	Sion	Taric	Kalista	LeBlanc	Garen	Jarvan IV
9	1387	1	Nautilus	Maokai	Tristana	Nami	Vel'Koz	Twitch	Jarvan IV	Lux	Kayn	Brand
83	193	0	Brand	Darius	Kha'Zix	Tristana	Lux	Xin Zhao	Volibear	Twitch	Viktor	Leona
48	1461	1	Gangplank	Malzahar	Soraka	Xayah	Fiddlesticks	Taric	Vayne	Lulu	Darius	Sejuani
46	1994	0	Gnar	Rakan	Lee Sin	Orianna	Jinx	Jax	Lucian	Ryze	Zyra	Lissandra
62	1070	0	Draven	Kled	Gragas	Kassadin	Thresh	Orianna	Alistar	Caitlyn	Xin Zhao	Jax
64	2169	1	Zed	Rammus	Maokai	Ashe	Leona	Anivia	Nautilus	Nocturne	Kled	Tristana
54	1843	0	Tryndamere	Blitzcrank	Jinx	Zed	Jax	Twitch	Riven	Morgana	Lee Sin	Diana
81	2051	0	Cassiopeia	Kayle	Hecarim	Vayne	Janna	Lulu	Miss Fortune	Xin Zhao	Talon	Ivern
80	2097	0	Fizz	Nami	Jax	Miss Fortune	Dr. Mundo	Lux	Sona	Vi	Mordekaiser	Twitch
